Invalid_Comments,keywords
email address may not valid pertestfmdc warning message should able get past r n r nin order versonix troubleshoot need provide full request response message need prirortized high showstopper item r n r nfyi lowering p workaround performance run workaround not urgent fix should david not need request response message troubleshoot issue dave expecting full request response troubleshoot something provide need done anil ganga request came data set ready enable logging one user share request response r n r ni think seaware error message should giving david good idea plan investigate log not going say something different need check rule seaware side share wider audience change should communicated closing issue following reason r n r n sign not supported part valid email id major email service provider hence chance occuring production rare r n seaware not support sign email id fix might require additional development effort seaware,"['provide need done anil ganga', 'message should able get past', 'provide need done anil', 'address may not valid', 'email address may not valid', 'address may not valid pertestfmdc', 'david not need request', 'david not need request response', 'dave expecting full request response', 'provide full request response message', 'expecting full request response troubleshoot', 'request response message troubleshoot issue', 'issue dave expecting full request', 'response message troubleshoot issue dave', 'data set ready enable logging', 'good idea plan investigate log', 'giving david good idea plan', 'david good idea plan investigate', 'side share wider audience change', 'troubleshoot issue dave expecting full']"
one get screenshots kelly attach jira r n r neven getting exact fn ln dob email id along seaware client id seaware payload already client sfdc detail create new account per design r nres event always come client id client sfdc without client id exact fn ln dob email id update existing account assign client id per design r n r n r n closing working designed,"['client id per design', 'assign client id per design', 'sfdc without client id exact', 'update existing account assign client', 'dob email id update existing', 'email id update existing account', 'screenshots kelly attach jira', 'update existing account assign', 'client sfdc detail create', 'existing account assign client', 'sfdc detail create new account', 'exact fn ln dob email', 'payload already client sfdc detail', 'seaware client id seaware payload', 'dob email id update', 'seaware payload already client sfdc', 'closing working designed', 'design r nres event', 'email id update existing', 'sfdc detail create']"
screenshot update resource file r n r nreservationdashboard cancelreservationcontactnumber advise correct phone number update logged separate ticket day copy needed swapped number dont know find think dc maybe fyi found may asked route closing based information,"['asked route closing based information', 'nreservationdashboard cancelreservationcontactnumber advise correct phone', 'logged separate ticket day copy', 'separate ticket day copy needed', 'ticket day copy needed swapped', 'cancelreservationcontactnumber advise correct phone number', 'update logged separate ticket day', 'day copy needed swapped number', 'copy needed swapped number dont', 'correct phone number update logged', 'phone number update logged separate', 'number update logged separate ticket', 'advise correct phone number update', 'route closing based information', 'screenshot update resource file', 'cancelreservationcontactnumber advise correct phone', 'logged separate ticket day', 'separate ticket day copy', 'ticket day copy needed', 'day copy needed swapped']"
duplicate,['duplicate']
maria r n r nplease confirm behavior want dc set r n yes user should anchored step need proceed something went wrong should anchor error r n r nthank r nmaria rojas unable reproduce r n,"['set r n yes user', 'error r n r nthank', 'maria r n r nplease', 'nthank r nmaria rojas unable', 'nmaria rojas unable reproduce', 'nplease confirm behavior', 'confirm behavior want dc set', 'user should anchored step', 'anchored step need proceed', 'wrong should anchor error', 'nthank r nmaria rojas', 'nmaria rojas unable', 'rojas unable reproduce', 'nplease confirm', 'confirm behavior', 'behavior want dc set', 'user should anchored', 'anchored step', 'step need proceed', 'proceed something went wrong']"
specify site referring e specific place site wide update bug r ncan update close cancel bug tested video marketing production seem fine cant see video test sound booking flow r nclosing r nthanks r nc r n,"['video test sound booking flow', 'specific place site wide update', 'ncan update close cancel bug', 'update close cancel bug tested', 'close cancel bug tested video', 'cancel bug tested video marketing', 'bug tested video marketing production', 'place site wide update bug', 'test sound booking flow', 'sound booking flow r nclosing', 'referring e specific place site', 'specific place site wide', 'close cancel bug tested', 'site referring e specific place', 'ncan update close cancel', 'tested video marketing production', 'video marketing production seem fine', 'video test sound booking', 'place site wide update', 'update close cancel bug']"
screenshot review r n r nfyi step reproduce not listed validation work one field missing defect urgent assigned day ago get status approaching go no go time run test provide evidence working thank not able reproduce unable reproduce cancelling defect,"['time run test provide evidence', 'run test provide evidence working', 'field missing defect urgent assigned', 'missing defect urgent assigned day', 'defect urgent assigned day ago', 'reproduce unable reproduce cancelling defect', 'listed validation work one field', 'validation work one field missing', 'urgent assigned day ago', 'assigned day ago get status', 'day ago get status approaching', 'time run test provide', 'run test provide evidence', 'test provide evidence working', 'work one field missing defect', 'field missing defect urgent', 'missing defect urgent assigned', 'defect urgent assigned day', 'unable reproduce cancelling defect', 'reproduce unable reproduce cancelling']"
duplicate tmsh,"['duplicate tmsh', 'duplicate', 'tmsh']"
per design,['design']
duplicate,['duplicate']
need store reservation twice get voyage reflected sf know issue release known issue designed,"['issue release known issue designed', 'store reservation twice get voyage', 'reservation twice get voyage reflected', 'release known issue designed', 'voyage reflected sf know issue', 'reflected sf know issue release', 'issue release known issue', 'issue designed', 'store reservation', 'reservation twice get voyage', 'voyage reflected', 'issue release', 'reflected sf know issue', 'release known issue', 'designed', 'issue', 'store', 'reservation', 'voyage', 'reflected']"
configuration issue resolved,"['configuration issue resolved', 'configuration issue', 'issue resolved', 'configuration', 'resolved', 'issue']"
duplicate tmsh,"['duplicate tmsh', 'duplicate', 'tmsh']"
using wrong url help portal,"['wrong url help portal', 'url help portal', 'wrong url', 'portal', 'wrong', 'url']"
verified dev image look r n r n screen shot pm screen shot pm ok strange thanks checking,"['screen shot pm screen shot', 'verified dev image', 'shot pm screen shot', 'screen shot pm ok strange', 'screen shot pm screen', 'screen shot', 'verified dev', 'strange thanks checking', 'dev image', 'shot pm ok strange', 'shot', 'shot pm screen', 'screen', 'verified', 'checking', 'dev', 'image', 'strange']"
duplicate duplicate,"['duplicate duplicate', 'duplicate']"
not reproducible,['reproducible']
could e related additional trigger send email different event not receiving transactional email issue virginvoyagesmktgtests r n r nthanks r nrohit recording reference transcational email not receiving email turned qa marketing cloud turned back try test email still qa let review one today reviewed uat today still happening transfer sailor either guest email not triggered fm sailor happens platform example uat changing high severity based support request coming sale question severity speak kelly retest transaction email not available qa available retested qa receiving email email not consists updated sailor name r nattached document reference r n primarysailornameupdate docx secondsailornameupdate docx sailor name got updated sailor detail modified dob r n r nattached screenshots foe reference r n r nwithout modifying dob r n sailorname r n r nafter modifying dob r n sailorname defect assigned however not yet fixed progress status team get kraken seaware development however assigned qa retested defect still issue could advise should assigned r n r n take ticket r n r ncan test,"['email different event not receiving', 'virginvoyagesmktgtests r n r nthanks', 'ticket r n r ncan', 'defect still issue could advise', 'dob r n r nattached', 'sailor name got updated', 'reference r n r nwithout', 'sailor name r nattached', 'sailorname r n r nafter', 'assigned however not yet fixed', 'email still qa let review', 'sailor happens platform example uat', 'docx sailor name got updated', 'email not triggered fm sailor', 'sailor name got updated sailor', 'development however assigned qa retested', 'sailor name r nattached document', 'triggered fm sailor happens platform', 'updated sailor name r nattached', 'updated sailor detail modified dob']"
fyi search client first enter new client fyi coral juliana searched sailor not enter new one talked today yes defect talking afternoon not able recreate test logged fmdc launched seaware not perform activity minute salesforce logged going cancel defect monitor issue thank fyi,"['recreate test logged fmdc launched', 'test logged fmdc launched seaware', 'perform activity minute salesforce logged', 'fyi coral juliana searched sailor', 'client fyi coral juliana searched', 'coral juliana searched sailor', 'fmdc launched seaware not perform', 'launched seaware not perform activity', 'seaware not perform activity minute', 'perform activity minute salesforce', 'recreate test logged fmdc', 'test logged fmdc launched', 'logged fmdc launched seaware', 'activity minute salesforce logged', 'cancel defect monitor issue', 'fyi coral juliana searched', 'juliana searched sailor not enter', 'client fyi coral juliana', 'talked today yes defect talking', 'today yes defect talking afternoon']"
dicussed yesterday ticket id dc fix already till qa latest discussion page not going live cm change latest code drop support without account flyout r n r nyou still reach account page cm nav direct link r canceling defect not reproduced,"['change latest code drop support', 'nav direct link r canceling', 'direct link r canceling defect', 'live cm change latest code', 'change latest code drop', 'latest code drop support', 'nyou still reach account page', 'page cm nav direct link', 'code drop support without account', 'drop support without account flyout', 'till qa latest discussion page', 'reach account page cm nav', 'account page cm nav direct', 'dicussed yesterday ticket', 'canceling defect not reproduced', 'yesterday ticket id dc fix', 'code drop support', 'nav direct link', 'direct link r canceling', 'link r canceling defect']"
not valid defect not launching account icon global nav not marketing page booking account page release r n r ncms page not include environment unless planned requested r n r ncc closing per comment,"['launching account icon global nav', 'marketing page booking account page', 'page booking account page release', 'icon global nav not marketing', 'include environment unless planned requested', 'valid defect not launching account', 'defect not launching account icon', 'launching account icon global', 'account icon global nav', 'global nav not marketing page', 'nav not marketing page booking', 'marketing page booking account', 'booking account page release', 'page booking account page', 'ncms page not include environment', 'ncc closing per comment', 'valid defect not launching', 'icon global nav', 'global nav not marketing', 'include environment unless planned']"
disagree priority issue urgent reduce r n business perspective think page load timing second higher process running follows r n cm integration structured content r n salesforce styling icon r n booking listing r n role hierarchy implementation gain visibility record,"['hierarchy implementation gain visibility record', 'disagree priority issue urgent reduce', 'role hierarchy implementation gain visibility', 'implementation gain visibility record', 'disagree priority issue urgent', 'priority issue urgent reduce', 'business perspective think page load', 'perspective think page load timing', 'page load timing second higher', 'load timing second higher process', 'timing second higher process running', 'role hierarchy implementation gain', 'hierarchy implementation gain visibility', 'gain visibility record', 'disagree priority issue', 'priority issue urgent', 'issue urgent reduce', 'urgent reduce r n business', 'reduce r n business perspective', 'business perspective think page']"
performance issue logged secured drop u line page following feature r n structured content integration cm r n drop u line form functionality r n integrated world map coming cm based geographical location selected r n individual avatar profile snapshot internal sale team r n salesforce styling r n r nthere lot going page load time sec got verified today opportunity fine tune using standard salesforce capability not fine tuning due module loading page r nlet know input based discussion not going make change fix defect aware functionality requirement involved loading page accepting response time cancel defect fyi cancelling defect business fine response time r n r nfyi,"['styling r n r nthere', 'integration cm r n drop', 'time r n r nfyi', 'loading page accepting response time', 'performance issue logged secured drop', 'involved loading page accepting response', 'page accepting response time cancel', 'response time cancel defect fyi', 'accepting response time cancel defect', 'tuning due module loading page', 'requirement involved loading page accepting', 'functionality requirement involved loading page', 'aware functionality requirement involved loading', 'defect business fine response time', 'fine tuning due module loading', 'cancelling defect business fine response', 'time cancel defect fyi cancelling', 'individual avatar profile snapshot internal', 'avatar profile snapshot internal sale', 'profile snapshot internal sale team']"
work fine prod,"['work fine prod', 'work fine', 'fine prod', 'work', 'prod', 'fine']"
duplicate r nplease refer dawn comment defect,"['nplease refer dawn comment defect', 'duplicate r nplease refer dawn', 'refer dawn comment defect', 'nplease refer dawn comment', 'duplicate r nplease refer', 'dawn comment defect', 'nplease refer dawn', 'refer dawn comment', 'duplicate r nplease', 'comment defect', 'nplease refer', 'refer dawn', 'dawn comment', 'duplicate', 'defect', 'nplease', 'refer', 'dawn', 'comment']"
screenshot provide information advise dupe review item see still issue related item dawn mentioned cancelling duplicate,"['screenshot provide information advise dupe', 'item dawn mentioned cancelling duplicate', 'provide information advise dupe review', 'information advise dupe review item', 'issue related item dawn mentioned', 'related item dawn mentioned cancelling', 'screenshot provide information advise', 'dawn mentioned cancelling duplicate', 'provide information advise dupe', 'information advise dupe review', 'advise dupe review item', 'issue related item dawn', 'related item dawn mentioned', 'item dawn mentioned cancelling', 'screenshot provide information', 'mentioned cancelling duplicate', 'provide information advise', 'information advise dupe', 'advise dupe review', 'dawn mentioned cancelling']"
screenshot confirmed valid defect qa already logged duplicate not sure jira original duplicate,"['screenshot confirmed valid defect', 'screenshot confirmed valid', 'confirmed valid defect', 'valid defect qa already logged', 'defect qa already logged duplicate', 'jira original duplicate', 'logged duplicate not sure jira', 'duplicate not sure jira original', 'screenshot confirmed', 'confirmed valid', 'valid defect', 'defect qa already logged', 'jira original', 'logged duplicate', 'original duplicate', 'duplicate not sure jira', 'screenshot', 'duplicate', 'confirmed', 'valid']"
author controllable element,"['author controllable element', 'author controllable', 'controllable element', 'author', 'element', 'controllable']"
duplicate,['duplicate']
agree working expected r nthanks r nc,"['agree working expected r nthanks', 'agree working expected', 'working expected r nthanks', 'agree working', 'working expected', 'expected r nthanks', 'agree', 'working', 'expected', 'nthanks']"
fyi find comment point raised r n point make required change per theme password field r n point per finalized mockups header must white background must no shadow sailor list r nfor point per current dxp implementation no cancel button rejection popups r n r nfyi r n guestlist whiteheader regarding password shown dot password field handled browser thus change may not possible thanks n n advise close bug n n reviewed per comment cancel thank,"['field r n point', 'bug n n reviewed', 'popups r n r nfyi', 'password field r n point', 'close bug n n reviewed', 'fyi find comment point raised', 'password shown dot password field', 'shown dot password field handled', 'dot password field handled browser', 'fyi find comment point', 'shown dot password field', 'dot password field handled', 'password field handled browser', 'sailor list r nfor point', 'password shown dot password', 'finalized mockups header must white', 'mockups header must white background', 'shadow sailor list r nfor', 'point make required change', 'find comment point raised']"
defect duplicate,"['defect duplicate', 'defect', 'duplicate']"
not bug payment module not supposed booking hold email n n r n r nthanks information canceling defect expected r n r nthanks r nsanjay,"['expected r n r nthanks', 'nthanks information canceling defect expected', 'nthanks information canceling defect', 'bug payment module not supposed', 'payment module not supposed booking', 'module not supposed booking hold', 'supposed booking hold email', 'information canceling defect expected', 'nthanks information canceling', 'bug payment module', 'payment module not supposed', 'module not supposed booking', 'supposed booking hold', 'booking hold email', 'information canceling defect', 'canceling defect expected', 'nthanks information', 'bug payment', 'payment module', 'module not supposed']"
see case created via email u chat request e g case also see attached account retest validated qa closing defect find attached recording reference r n r n retest r nwe facing issue case not getting created sf sailor submits chat request sends email web r n r nattached recording reference r n chatcase cert r n r ntest data ritujuly r npolojuly r ntestone r nkanchanjuly r n r n r n still issue tested today two account kanchanjuly kanchanjuly rupali rupali see working expected retested case created sf via email u r nthe case created sf r n r n,"['web r n r nattached', 'cert r n r ntest', 'request e g case', 'case also see attached', 'email u r nthe', 'created sf via email', 'case not getting created', 'chat request e g case', 'case also see attached account', 'email u r nthe case', 'case created sf via email', 'issue case not getting created', 'created via email u chat', 'working expected retested case created', 'submits chat request sends email', 'chat request sends email web', 'defect find attached recording reference', 'sailor submits chat request sends', 'account kanchanjuly kanchanjuly rupali rupali', 'closing defect find attached recording']"
verify tried reproduce issue straight day data set unable opinion should give drop u line submission couple second terminate window end testing assume network issue see latency tested india u couldn reproduce n n also tried recreate bug not able able reproduce issue requested reach spoke juliana not able reproduce bug another issue able solve fyi,"['bug another issue able solve', 'bug not able able reproduce', 'straight day data set unable', 'day data set unable opinion', 'terminate window end testing assume', 'window end testing assume network', 'end testing assume network issue', 'issue straight day data set', 'issue requested reach spoke juliana', 'reproduce issue straight day data', 'reproduce issue requested reach spoke', 'straight day data set', 'day data set unable', 'data set unable opinion', 'set unable opinion should give', 'unable opinion should give drop', 'give drop u line submission', 'drop u line submission couple', 'line submission couple second terminate', 'submission couple second terminate window']"
fyi request review bug raised requirement not released yet thank take look code drop confirm verify associate user story cancel item,"['fyi request review bug raised', 'associate user story cancel item', 'request review bug raised requirement', 'code drop confirm verify associate', 'drop confirm verify associate user', 'confirm verify associate user story', 'verify associate user story cancel', 'fyi request review bug', 'user story cancel item', 'request review bug raised', 'review bug raised requirement', 'bug raised requirement not released', 'code drop confirm verify', 'drop confirm verify associate', 'confirm verify associate user', 'verify associate user story', 'associate user story cancel', 'fyi request review', 'story cancel item', 'request review bug']"
fyi request review bug raised requirement not released yet verify associate user story cancel item,"['fyi request review bug raised', 'associate user story cancel item', 'request review bug raised requirement', 'verify associate user story cancel', 'fyi request review bug', 'user story cancel item', 'request review bug raised', 'review bug raised requirement', 'bug raised requirement not released', 'released yet verify associate user', 'verify associate user story', 'associate user story cancel', 'fyi request review', 'story cancel item', 'request review bug', 'review bug raised', 'bug raised requirement', 'raised requirement not released', 'requirement not released yet verify', 'released yet verify associate']"
currently troubleshooting aws ticket refer existing jira ticket,"['troubleshooting aws ticket refer existing', 'aws ticket refer existing jira', 'ticket refer existing jira ticket', 'troubleshooting aws ticket refer', 'aws ticket refer existing', 'ticket refer existing jira', 'refer existing jira ticket', 'refer existing jira', 'troubleshooting aws ticket', 'aws ticket refer', 'ticket refer existing', 'existing jira ticket', 'troubleshooting aws', 'refer existing', 'existing jira', 'aws ticket', 'ticket refer', 'jira ticket', 'ticket', 'troubleshooting']"
currently not receive currency nbx requirement future refer,"['currency nbx requirement future refer', 'receive currency nbx requirement future', 'nbx requirement future refer', 'receive currency nbx requirement', 'currency nbx requirement future', 'requirement future refer', 'receive currency nbx', 'currency nbx requirement', 'nbx requirement future', 'future refer', 'receive currency', 'currency nbx', 'nbx requirement', 'requirement future', 'refer', 'receive', 'currency', 'nbx', 'requirement', 'future']"
r ni validated reservation sfdc last event got pm per event reservation booked virgin voyage direct usd screenshot no reservation event r n r n r n check reservation production confirm message see kafka r n r n n n n ni don see message kafka reservation id n n n n thanks event wouldn register agency change booking direct first mate n not think desired behavior n check someone team get updated event sfdc process case booking modified seaware event not get kafka update r n r nwe checked versonix seems one isolated case check sailor solution no situation like occurred since r n r nclosing bug not heard occurrence,"['event got pm per event', 'update r n r nwe', 'event not get kafka', 'mate n not think desired', 'event not get kafka update', 'seaware event not get kafka', 'check reservation production confirm message', 'isolated case check sailor solution', 'event sfdc process case booking', 'sfdc process case booking modified', 'updated event sfdc process case', 'case booking modified seaware event', 'register agency change booking direct', 'process case booking modified seaware', 'reservation booked virgin voyage direct', 'event reservation booked virgin voyage', 'wouldn register agency change booking', 'booked virgin voyage direct usd', 'virgin voyage direct usd screenshot', 'event wouldn register agency change']"
r n r ndo update issue n ni see one re event reservation seaware pm est not see issue sfdc end n n n n check kafka one event no gaurav don one event thanks n n n n may need check seaware support not get event activemq n nplease assign seaware team analysis n n r n r ni already working versonix matter see happening end r n r nhere another example sailor solution check one well r n r nfm called trying get booking status put deposit booking not show sf info able pull seaware though opp r n r ncc,"['support not get event', 'est not see issue', 'kafka one event no gaurav', 'opp r n r ncc', 'end r n r nhere', 'support not get event activemq', 'est not see issue sfdc', 'seaware support not get event', 'booking status put deposit booking', 'nplease assign seaware team analysis', 'event activemq n nplease assign', 'activemq n nplease assign seaware', 'nplease assign seaware team', 'assign seaware team analysis', 'versonix matter see happening end', 'booking status put deposit', 'status put deposit booking', 'working versonix matter see happening', 'put deposit booking not show', 'event reservation seaware pm est']"
working qa r nattached recording reference r n qa footer not see issue right,"['nattached recording reference', 'working qa r nattached recording', 'nattached recording', 'recording reference', 'footer not see issue', 'working', 'reference r n qa footer', 'working qa r nattached', 'nattached', 'recording', 'reference', 'footer', 'issue']"
im really sorry not clear bug sow comparison screenshots n nthanks n nc detail text form single screen shot difference see expecting not r nin previous attached recording clearly highlighted difference seeing somehow not able reproduce issue coming intermittently refer screenshots see difference r nthanks r n icon descriptive text no descriptive text since issue not reproducible should close verified stage working expected r n working fine,"['screenshots see difference r nthanks', 'expecting not r nin', 'expecting not r nin previous', 'clear bug sow comparison screenshots', 'reproduce issue coming intermittently refer', 'close verified stage working expected', 'detail text form single screen', 'text form single screen shot', 'form single screen shot difference', 'issue coming intermittently refer screenshots', 'clear bug sow comparison', 'form single screen shot', 'nin previous attached recording', 'previous attached recording clearly highlighted', 'reproducible should close verified stage', 'bug sow comparison screenshots', 'reproduce issue coming intermittently', 'issue coming intermittently refer', 'coming intermittently refer screenshots', 'close verified stage working']"
information planned release today issue isolated vmware platform network connectivity not available gateway vm interface investigate change made network detail initial troubleshooting confirmed issue resolved continue deployment n n thanks update confirm closure issue issue resolved future issue resolved should go done not cancel,"['deployment n n thanks update', 'information planned release today issue', 'isolated vmware platform network connectivity', 'interface investigate change made network', 'investigate change made network detail', 'change made network detail initial', 'made network detail initial troubleshooting', 'network detail initial troubleshooting confirmed', 'detail initial troubleshooting confirmed issue', 'planned release today issue isolated', 'release today issue isolated vmware', 'today issue isolated vmware platform', 'troubleshooting confirmed issue resolved continue', 'initial troubleshooting confirmed issue resolved', 'confirmed issue resolved continue deployment', 'issue isolated vmware platform network', 'update confirm closure issue issue', 'confirm closure issue issue resolved', 'closure issue issue resolved future', 'issue resolved future issue resolved']"
bug fyi expected behavior vv news partner offer would added new record communication preference related list would not available communication preference section,"['record communication preference related list', 'bug fyi expected behavior', 'communication preference related list', 'record communication preference related', 'added new record communication preference', 'bug fyi expected', 'communication preference section', 'fyi expected behavior', 'partner offer would added', 'offer would added new record', 'added new record communication', 'preference related list', 'record communication preference', 'communication preference related', 'expected behavior vv news partner', 'behavior vv news partner offer', 'communication preference', 'bug fyi', 'preference section', 'fyi expected']"
prioritized business duplicate,"['prioritized business duplicate', 'prioritized business', 'business duplicate', 'prioritized', 'duplicate', 'business']"
set correct detected cycle part development testing dev should sprint story released code drop part understanding correct thanks prioritized business tested logged cabin host task completed reflects cabin cleaned count not request completed count ever logged runner complete task count updated attached video review x x x n n working correct way misread marking canceled,"['sprint story released code drop', 'detected cycle part development testing', 'cycle part development testing dev', 'story released code drop part', 'released code drop part understanding', 'set correct detected cycle part', 'count updated attached video review', 'prioritized business tested logged cabin', 'business tested logged cabin host', 'correct detected cycle part development', 'code drop part understanding correct', 'runner complete task count updated', 'complete task count updated attached', 'task count updated attached video', 'cabin host task completed reflects', 'task completed reflects cabin cleaned', 'tested logged cabin host task', 'host task completed reflects cabin', 'completed reflects cabin cleaned count', 'logged runner complete task count']"
per ac whenever individual submit chat lead record created system system should update lead source field following picklist value chat n ni tested scenario working fine example mentioned since checked yes want virgin voyage send marketing promotion cool stuff checkbox account created salesforce no lead thus lead source coming blank retest without selecting checkbox new email id lead created lead source lead populated chat,"['salesforce no lead thus lead', 'virgin voyage send marketing promotion', 'voyage send marketing promotion cool', 'send marketing promotion cool stuff', 'marketing promotion cool stuff checkbox', 'promotion cool stuff checkbox account', 'cool stuff checkbox account created', 'stuff checkbox account created salesforce', 'lead source coming blank retest', 'individual submit chat lead record', 'submit chat lead record created', 'lead record created system system', 'chat lead record created system', 'created lead source lead populated', 'lead source lead populated chat', 'lead created lead source lead', 'source coming blank retest', 'tested scenario working fine', 'scenario working fine example mentioned', 'virgin voyage send marketing']"
look let fi aug th code drop team working not part upcoming release since not change payment ui anymore deferring bug closed obsolete cybersource ui replaced fexco hence issue becomes obsolete,"['anymore deferring bug closed obsolete', 'deferring bug closed obsolete cybersource', 'aug th code drop team', 'code drop team working', 'drop team working not part', 'team working not part upcoming', 'working not part upcoming release', 'change payment ui anymore deferring', 'payment ui anymore deferring bug', 'anymore deferring bug closed', 'deferring bug closed obsolete', 'bug closed obsolete cybersource', 'closed obsolete cybersource ui replaced', 'obsolete cybersource ui replaced fexco', 'aug th code drop', 'code drop team', 'drop team working', 'team working not part', 'working not part upcoming', 'part upcoming release']"
specify expecting invalid bug improper detail marking closed r n,"['expecting invalid bug improper detail', 'invalid bug improper detail marking', 'bug improper detail marking closed', 'expecting invalid bug improper', 'invalid bug improper detail', 'bug improper detail marking', 'improper detail marking closed', 'expecting invalid bug', 'invalid bug improper', 'bug improper detail', 'improper detail marking', 'detail marking closed', 'expecting invalid', 'invalid bug', 'bug improper', 'improper detail', 'detail marking', 'marking closed', 'expecting', 'invalid']"
canceling duplicate,"['canceling duplicate', 'canceling', 'duplicate']"
havana data removed cm recently checking corresponding change happened voyage data not nfyi n r n r nplease refer ticket provide update asap r n r nfyi defect code drop n na know havana not valid port anymore require seaware also remove itinerary havana port checked today found hav data n n n n code vx cruiseitininfo portcode hav portname havana portcountrycode cu dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier arrival datetimedetails dayofweek wed r n vx datetimedescription datetimequalifier departure datetimedetails dayofweek thu r n vx cruiseitininfo code n ncms team already remove content side getting issue got data sw n ndo want create separate task take ticket n n hoping help havana removed cm together n n havana removed itinerary seaware seems vxp still checking havana certain itinerary let u know updated thank yes removed itinerary pulling pretty sure removed havana active sailing cert note port code still exist seaware port code ntables not remove checking vv int data getting voyage itinerary call n n n n code xml version encoding utf standalone yes r n vx ota cruiseitinerarydescrs xmlns vx xmlns n xmlns n timestamp targetname seaware version correlationid bcf de af cafddc r n vx success r n vx selectedsailing voyageid scnoh start duration pd end shipcode sc shipname scarlet lady r n vx cruiseitininfos r n vx cruiseitininfo portcode mia portname miami portcountrycode u dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier departure datetimedetails dayofweek sun r n vx cruiseitininfo r n vx cruiseitininfo portcode bim portname beach club bimini portcountrycode b dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier arrival datetimedetails dayofweek mon r n vx datetimedescription datetimequalifier departure datetimedetails dayofweek mon r n vx cruiseitininfo r n vx cruiseitininfo dockindicator false shorexindicator false r n vx datetimedescription datetimequalifier stay datetimedetails dayofweek tue r n vx cruiseitininfo r n vx cruiseitininfo portcode hav portname havana portcountrycode cu dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier arrival datetimedetails dayofweek wed r n vx datetimedescription datetimequalifier departure datetimedetails dayofweek thu r n vx cruiseitininfo r n vx cruiseitininfo portcode mia portname miami portcountrycode u dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier arrival datetimedetails dayofweek fri r n vx cruiseitininfo r n vx cruiseitininfos r n vx ota cruiseitinerarydescrs code n n date range using not real data made sure update sailing remove havana match production r n r nany date april fake data made sailing testing request update date well plan able use april date r n r ncc andrea dc team ran issue testing seems need pick another sailing test r n r n let pls use different sailing test issue happening havana port not defect r n r nthank test every scenario need current sailing well use future voyage n nso request remove sailing don data cm related getting issue n n assigning issue no conclusion issue since not havana port anymore cancel bug put low priority currently p urgent r n r nfyi r n r nthanks,"['cafddc r n vx success', 'success r n vx selectedsailing', 'plan able use april', 'testing seems need pick', 'lady r n vx cruiseitininfos', 'sun r n vx cruiseitininfo', 'fri r n vx cruiseitininfo', 'mon r n vx datetimedescription', 'updated thank yes removed', 'wed r n vx datetimedescription', 'sailing well use future', 'ticket n n hoping', 'production r n r nany', 'thu r n vx cruiseitininfo', 'issue testing seems need pick', 'asap r n r nfyi', 'urgent r n r nfyi', 'issue n n assigning', 'defect r n r nthank', 'date r n r ncc']"
resolved dcp issue incorrectly created issue present int environment testing not present qa environment help close no longer valid assigning r n r nfyi r n validate end closing ticket,"['resolved dcp issue incorrectly created', 'dcp issue incorrectly created issue', 'incorrectly created issue present int', 'issue incorrectly created issue present', 'issue present int environment testing', 'created issue present int environment', 'validate end closing ticket', 'resolved dcp issue incorrectly', 'close no longer valid assigning', 'dcp issue incorrectly created', 'issue incorrectly created issue', 'incorrectly created issue present', 'created issue present int', 'present int environment testing', 'issue present int environment', 'int environment testing not present', 'end closing ticket', 'resolved dcp issue', 'close no longer valid', 'longer valid assigning']"
issue stand not valid anymore reason payment part screen removed part new payment module term condition privacy policy also part payment module not shown anymore n nthe link also come integrated new payment module need not bother n n n nfyi issue should closed assigning closing explanation given piyush r n r nfyi,"['bother n n n nfyi', 'piyush r n r nfyi', 'module term condition privacy policy', 'payment module term condition privacy', 'reason payment part screen removed', 'anymore reason payment part screen', 'valid anymore reason payment part', 'payment part screen removed part', 'term condition privacy policy', 'closed assigning closing explanation', 'assigning closing explanation given piyush', 'module term condition privacy', 'payment module term condition', 'stand not valid anymore reason', 'valid anymore reason payment', 'issue stand not valid anymore', 'reason payment part screen', 'payment part screen removed', 'anymore reason payment part', 'part screen removed part']"
later decided remove text hence canceling one,"['decided remove text hence canceling', 'decided remove text', 'remove text hence canceling', 'decided remove', 'remove text', 'text hence canceling', 'decided', 'remove', 'text', 'canceling']"
new bug logged disable share button r nthis look like invalid bug confirm bug actually need fix cancelling bug since fixing,"['bug logged disable share button', 'logged disable share button', 'disable share button r nthis', 'bug logged disable share', 'invalid bug confirm bug', 'fix cancelling bug since fixing', 'logged disable share', 'disable share button', 'share button r nthis', 'bug logged disable', 'nthis look like invalid bug', 'invalid bug confirm', 'fix cancelling bug', 'bug confirm bug', 'cancelling bug since fixing', 'confirm bug actually need fix', 'bug actually need fix cancelling', 'logged disable', 'disable share', 'share button']"
add detail not able replicate consistently not able reproduced,"['add detail not able replicate', 'replicate consistently not able reproduced', 'detail not able replicate consistently', 'add detail', 'consistently not able reproduced', 'detail not able replicate', 'replicate consistently', 'add', 'reproduced', 'detail', 'replicate', 'consistently']"
