Invalid_Comments,Value
screenshot update resource file r n r nreservationdashboard cancelreservationcontactnumber advise correct phone number update logged separate ticket day copy needed swapped number dont know find think dc maybe fyi found may asked route closing based information,duplicate issue
duplicate,duplicate issue
maria r n r nplease confirm behavior want dc set r n yes user should anchored step need proceed something went wrong should anchor error r n r nthank r nmaria rojas unable reproduce r n,reproducible or environment issue
specify site referring e specific place site wide update bug r ncan update close cancel bug tested video marketing production seem fine cant see video test sound booking flow r nclosing r nthanks r nc r n,cancelling defect
screenshot review r n r nfyi step reproduce not listed validation work one field missing defect urgent assigned day ago get status approaching go no go time run test provide evidence working thank not able reproduce unable reproduce cancelling defect,duplicate issue
duplicate tmsh,duplicate issue
per design,duplicate issue
duplicate,duplicate issue
need store reservation twice get voyage reflected sf know issue release known issue designed,duplicate issue
configuration issue resolved,duplicate issue
duplicate tmsh,duplicate issue
using wrong url help portal,duplicate issue
verified dev image look r n r n screen shot pm screen shot pm ok strange thanks checking,duplicate issue
duplicate duplicate,duplicate issue
not reproducible,reproducible or environment issue
could e related additional trigger send email different event not receiving transactional email issue virginvoyagesmktgtests r n r nthanks r nrohit recording reference transcational email not receiving email turned qa marketing cloud turned back try test email still qa let review one today reviewed uat today still happening transfer sailor either guest email not triggered fm sailor happens platform example uat changing high severity based support request coming sale question severity speak kelly retest transaction email not available qa available retested qa receiving email email not consists updated sailor name r nattached document reference r n primarysailornameupdate docx secondsailornameupdate docx sailor name got updated sailor detail modified dob r n r nattached screenshots foe reference r n r nwithout modifying dob r n sailorname r n r nafter modifying dob r n sailorname defect assigned however not yet fixed progress status team get kraken seaware development however assigned qa retested defect still issue could advise should assigned r n r n take ticket r n r ncan test,reproducible or environment issue
fyi search client first enter new client fyi coral juliana searched sailor not enter new one talked today yes defect talking afternoon not able recreate test logged fmdc launched seaware not perform activity minute salesforce logged going cancel defect monitor issue thank fyi,duplicate issue
dicussed yesterday ticket id dc fix already till qa latest discussion page not going live cm change latest code drop support without account flyout r n r nyou still reach account page cm nav direct link r canceling defect not reproduced,duplicate issue
not valid defect not launching account icon global nav not marketing page booking account page release r n r ncms page not include environment unless planned requested r n r ncc closing per comment,duplicate issue
disagree priority issue urgent reduce r n business perspective think page load timing second higher process running follows r n cm integration structured content r n salesforce styling icon r n booking listing r n role hierarchy implementation gain visibility record,duplicate issue
performance issue logged secured drop u line page following feature r n structured content integration cm r n drop u line form functionality r n integrated world map coming cm based geographical location selected r n individual avatar profile snapshot internal sale team r n salesforce styling r n r nthere lot going page load time sec got verified today opportunity fine tune using standard salesforce capability not fine tuning due module loading page r nlet know input based discussion not going make change fix defect aware functionality requirement involved loading page accepting response time cancel defect fyi cancelling defect business fine response time r n r nfyi,cancelling defect
work fine prod,duplicate issue
duplicate r nplease refer dawn comment defect,working as expected
screenshot provide information advise dupe review item see still issue related item dawn mentioned cancelling duplicate,duplicate issue
screenshot confirmed valid defect qa already logged duplicate not sure jira original duplicate,duplicate issue
author controllable element,duplicate issue
duplicate,duplicate issue
agree working expected r nthanks r nc,working as expected
fyi find comment point raised r n point make required change per theme password field r n point per finalized mockups header must white background must no shadow sailor list r nfor point per current dxp implementation no cancel button rejection popups r n r nfyi r n guestlist whiteheader regarding password shown dot password field handled browser thus change may not possible thanks n n advise close bug n n reviewed per comment cancel thank,working as expected
defect duplicate,duplicate issue
not bug payment module not supposed booking hold email n n r n r nthanks information canceling defect expected r n r nthanks r nsanjay,duplicate issue
see case created via email u chat request e g case also see attached account retest validated qa closing defect find attached recording reference r n r n retest r nwe facing issue case not getting created sf sailor submits chat request sends email web r n r nattached recording reference r n chatcase cert r n r ntest data ritujuly r npolojuly r ntestone r nkanchanjuly r n r n r n still issue tested today two account kanchanjuly kanchanjuly rupali rupali see working expected retested case created sf via email u r nthe case created sf r n r n,working as expected
verify tried reproduce issue straight day data set unable opinion should give drop u line submission couple second terminate window end testing assume network issue see latency tested india u couldn reproduce n n also tried recreate bug not able able reproduce issue requested reach spoke juliana not able reproduce bug another issue able solve fyi,reproducible or environment issue
fyi request review bug raised requirement not released yet thank take look code drop confirm verify associate user story cancel item,cancelling defect
fyi request review bug raised requirement not released yet verify associate user story cancel item,cancelling defect
currently troubleshooting aws ticket refer existing jira ticket,duplicate issue
currently not receive currency nbx requirement future refer,duplicate issue
r ni validated reservation sfdc last event got pm per event reservation booked virgin voyage direct usd screenshot no reservation event r n r n r n check reservation production confirm message see kafka r n r n n n n ni don see message kafka reservation id n n n n thanks event wouldn register agency change booking direct first mate n not think desired behavior n check someone team get updated event sfdc process case booking modified seaware event not get kafka update r n r nwe checked versonix seems one isolated case check sailor solution no situation like occurred since r n r nclosing bug not heard occurrence,duplicate issue
r n r ndo update issue n ni see one re event reservation seaware pm est not see issue sfdc end n n n n check kafka one event no gaurav don one event thanks n n n n may need check seaware support not get event activemq n nplease assign seaware team analysis n n r n r ni already working versonix matter see happening end r n r nhere another example sailor solution check one well r n r nfm called trying get booking status put deposit booking not show sf info able pull seaware though opp r n r ncc,duplicate issue
working qa r nattached recording reference r n qa footer not see issue right,reproducible or environment issue
im really sorry not clear bug sow comparison screenshots n nthanks n nc detail text form single screen shot difference see expecting not r nin previous attached recording clearly highlighted difference seeing somehow not able reproduce issue coming intermittently refer screenshots see difference r nthanks r n icon descriptive text no descriptive text since issue not reproducible should close verified stage working expected r n working fine,duplicate issue
information planned release today issue isolated vmware platform network connectivity not available gateway vm interface investigate change made network detail initial troubleshooting confirmed issue resolved continue deployment n n thanks update confirm closure issue issue resolved future issue resolved should go done not cancel,duplicate issue
bug fyi expected behavior vv news partner offer would added new record communication preference related list would not available communication preference section,working as expected
prioritized business duplicate,duplicate issue
set correct detected cycle part development testing dev should sprint story released code drop part understanding correct thanks prioritized business tested logged cabin host task completed reflects cabin cleaned count not request completed count ever logged runner complete task count updated attached video review x x x n n working correct way misread marking canceled,cancelling defect
per ac whenever individual submit chat lead record created system system should update lead source field following picklist value chat n ni tested scenario working fine example mentioned since checked yes want virgin voyage send marketing promotion cool stuff checkbox account created salesforce no lead thus lead source coming blank retest without selecting checkbox new email id lead created lead source lead populated chat,reproducible or environment issue
look let fi aug th code drop team working not part upcoming release since not change payment ui anymore deferring bug closed obsolete cybersource ui replaced fexco hence issue becomes obsolete,working as expected
specify expecting invalid bug improper detail marking closed r n,duplicate issue
canceling duplicate,duplicate issue
havana data removed cm recently checking corresponding change happened voyage data not nfyi n r n r nplease refer ticket provide update asap r n r nfyi defect code drop n na know havana not valid port anymore require seaware also remove itinerary havana port checked today found hav data n n n n code vx cruiseitininfo portcode hav portname havana portcountrycode cu dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier arrival datetimedetails dayofweek wed r n vx datetimedescription datetimequalifier departure datetimedetails dayofweek thu r n vx cruiseitininfo code n ncms team already remove content side getting issue got data sw n ndo want create separate task take ticket n n hoping help havana removed cm together n n havana removed itinerary seaware seems vxp still checking havana certain itinerary let u know updated thank yes removed itinerary pulling pretty sure removed havana active sailing cert note port code still exist seaware port code ntables not remove checking vv int data getting voyage itinerary call n n n n code xml version encoding utf standalone yes r n vx ota cruiseitinerarydescrs xmlns vx xmlns n xmlns n timestamp targetname seaware version correlationid bcf de af cafddc r n vx success r n vx selectedsailing voyageid scnoh start duration pd end shipcode sc shipname scarlet lady r n vx cruiseitininfos r n vx cruiseitininfo portcode mia portname miami portcountrycode u dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier departure datetimedetails dayofweek sun r n vx cruiseitininfo r n vx cruiseitininfo portcode bim portname beach club bimini portcountrycode b dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier arrival datetimedetails dayofweek mon r n vx datetimedescription datetimequalifier departure datetimedetails dayofweek mon r n vx cruiseitininfo r n vx cruiseitininfo dockindicator false shorexindicator false r n vx datetimedescription datetimequalifier stay datetimedetails dayofweek tue r n vx cruiseitininfo r n vx cruiseitininfo portcode hav portname havana portcountrycode cu dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier arrival datetimedetails dayofweek wed r n vx datetimedescription datetimequalifier departure datetimedetails dayofweek thu r n vx cruiseitininfo r n vx cruiseitininfo portcode mia portname miami portcountrycode u dockindicator true shorexindicator true r n vx datetimedescription datetimequalifier arrival datetimedetails dayofweek fri r n vx cruiseitininfo r n vx cruiseitininfos r n vx ota cruiseitinerarydescrs code n n date range using not real data made sure update sailing remove havana match production r n r nany date april fake data made sailing testing request update date well plan able use april date r n r ncc andrea dc team ran issue testing seems need pick another sailing test r n r n let pls use different sailing test issue happening havana port not defect r n r nthank test every scenario need current sailing well use future voyage n nso request remove sailing don data cm related getting issue n n assigning issue no conclusion issue since not havana port anymore cancel bug put low priority currently p urgent r n r nfyi r n r nthanks,duplicate issue
resolved dcp issue incorrectly created issue present int environment testing not present qa environment help close no longer valid assigning r n r nfyi r n validate end closing ticket,duplicate issue
issue stand not valid anymore reason payment part screen removed part new payment module term condition privacy policy also part payment module not shown anymore n nthe link also come integrated new payment module need not bother n n n nfyi issue should closed assigning closing explanation given piyush r n r nfyi,duplicate issue
later decided remove text hence canceling one,duplicate issue
new bug logged disable share button r nthis look like invalid bug confirm bug actually need fix cancelling bug since fixing,duplicate issue
add detail not able replicate consistently not able reproduced,duplicate issue
add detail screenshot reproduce not able reproduced marking deferred,reproducible or environment issue
issue duplicate marking close,duplicate issue
add detail expected text e g mia something else defect still valid cancelled still unclear issue mentioned could not reproduce,working as expected
add detail screenshot reproduce bug created per previous understanding sailor not complete payment task sailor r nthere later change new requirement party check sailor within travel party complete payment task r n r ngiven believe should canceling one r n r nwhat update status bug done resolution user story update r n r nalso attach relevant updated user story bug let u know detail story retest mark close sharing story closing defect new requirement n n,cancelling defect
let u know implemented fully fyi no not fully implemented yet r nthe decline screen not part initial requirement hence delivered r n r ncan team create user story pending delivery item assigned relevant sprint dont miss anything r n r nthanks r nrohit check update status story incorporate change bug cancelled since new requirement u not implemented,cancelling defect
add screenshot video reproduce area profile hardcoded cancel defect not updated proper detail month n n,reproducible or environment issue
duplicate,duplicate issue
tested working fine r n working fine,working as expected
viswa replied createddate event based changed salesforce object not change,duplicate issue
look strange part close case try send email activity history name populating field open case try send email field coming blank populating lead email id case email not box functionality may need take new requirement pls advise not bug native functionality salesforce discussed business spike created evaluate,duplicate issue
video showing seaware touch creating circle adding delegate text jira saying something else confirm issue kindly review step reproduce updated issue detail assigning issue issue seaware touch update issue review closing ticket not able reproduce,reproducible or environment issue
deferred per not implemented canceling since feature not yet developed delivered,duplicate issue
suggest expected behaviour r n n nwe should use full screen search modal design comp reference n n n n yes agree adam per suggestion n waiting answer keep deleting comment hence adding question fyi r n r n need one confirmation make change r n r n app right showing airline name design ask code should show airline name code r n airline right dropdown field expectation show full screen user open drop n n quote character limit flight number flight number field reduced utilized airline drop list show airline name quote n ni agree resizing field n n n n quote airline right dropdown field expectation show full screen user open drop quote n nyes part ticket n n n n close bug separate story bug track separate story track yes close tix share story tracked linked bug cover approach followed drop down picker across app also story cancelling defect since story created already,cancelling defect
cc ryan n n n nwe working fixing issue saw production deployment issue addressed create adhoc report n n n nplease let know see issue creating report production n n n nthanks n nzeba shaikh data available marked status canceled closed could not find resolved closed status,reproducible or environment issue
happening aud nzd n n flagged blocker release impact payment could change know causing intermittent issue n nthanks n nc n n happening nzd aud n n n n n n n n n n n n n n r n send detail issue correlation id r n r nfyi assigning need detail step n n created new lead sf converted account created clean account n used sailor account made booking sw touch via nzd agency leave status pay partial visa n booking sf n created web account sailor vv web qa n sophia bella sophia bella nvirgin n open booking web make payment nzd currency filling cc detail end page select yes remember card make payment cc card saved cc info saved next payment transaction n make additional payment saved cc receiving error message n n n n n nlet know need additional info step r ni asked correlation id well provide r n r nthanks r n r ni logged provided user account found one voyage partially paid aud currency made payment voyage two time amount r naud r nand agin aud r nvoyage reservation r n r nwith added card check still unable pay save card mentioned comment guide missing something r n r nplease find attachment payment success comment r n r nfyi going validate conversation known n n use saved credit card file pay booking different currency original booking card first used pay n known issue production well per conversation n going talk business make aware situation update ticket n nfyi no longer specific currency issue n ni lowered severity priority defect vaibhav talk business close defect no discussion another saurabh tagged sorry get right sourabh tagged updated removing hotlist based,reproducible or environment issue
think long booking flow showing exact price decimal place not blocker need resolved technically risk showing cheaper price actually possible n nthanks n nc n n update finding n n currently discussed meeting no decimal currency even production should canceled decimal value removed cert qa closing issue r n should cancel not done since invalid bug,working as expected
look also noticed cert invalid not hotel n n n n vx selectedpackages vx selectedpackage packagetypecode status cruisepackagecode wmia start duration pd end vx location vx cityname mia vx cityname vx location vx selectedpackage vx selectedpackages n n n nalso cruisepackagecode wmia not something get end seaware master data n n n nplease connect seaware team n n n n note comment also shorex get datetime value date field however hotel thing get date field seaware need consistent need reuse booked activity display hotel n n n nfyi n n hotel not booked activity component need assistance hotel testing reach confirmed adding hotel way supposed sw touch n n understand no requirement display hotel sf today add touch view confirm code wmia get scenario not available package category master data possible seaware might table vx selectedpackages vx selectedpackage packagetypecode status color ff cruisepackagecode wmia color start duration pd end vx location vx cityname mia vx cityname vx location vx selectedpackage vx selectedpackages n n n n n nalso start date issue due wrong field layout should good n n confirmed hotel not required sf per n n n n confirm using right data test hotel want u use specific hotel used wmia testing notice r n r n look table hotel hotel info resides thanks n n n nfyi new table manage end need handle would prefer not sfdc not required sailor service team check business aligned would need story ignore hotel skipped processing via reservation event consider shorex bookable activity n n n n code hotel n countrycode u countrycode n statecode fl statecode n citycode mia citycode n hotelid hotelid n hotelcode wmia hotelcode n hotelname w miami hotelname n hotelcategory deluxe hotelcategory n isactive isactive n rating rating n priority priority n checkin checkin n checkout checkout n comment created testing comment n hotel code n n n nfyi hotel point discussion decided hotel not going come sfdc get meeting s get final confirmation n n meeting scheduled business monday th august discus update outcome yesterday meeting,cancelling defect
directed business not focus updating edge fyi based comment plan defer defect close review spoke status triage identified not going fix issue should cancel defect need reinstate mandatory entry resolution field document not fixing thanks assigning add resolution field tracking resolution window also give option add comment still manually soooooooooooooooo agree cancel add comment business one thing also need provide view company not supporting edge need agree not test otherwise issue like low fruit would think still need fixed not agreeing cancelling defect call virgin supporting virgin supporting edge not ie not fm discussed one agreed keep backlog not priority business not certain should dev queue hence assigning back update jira showing queue think spend much time issue actually need need take final call need incident queue open incident direction change n nalso f salesforce no providing support ie edge community leveraging lightning framework top vv fmdc implementation full custom design canceled reason deferred,cancelling defect
cc unable reproduce issue n n set call ryan try reproduce issue production n n n ncc problem not exist longer case,reproducible or environment issue
duplicate defect hence cancelled refer,duplicate issue
happening prod added prod label forgot mention attached latest video sprint updated r ni tried reproduce issue unable check attached video following right step sep pm webm no longer happening ipad safari chrome closing,reproducible or environment issue
discus n nthanks n nc appears duplicate ticket ok close one n nthanks n nc duplicate close issue may opened two different people,duplicate issue
add sailor id not part moved scope even r nassigning back based mentioned closing defect feature descoped,duplicate issue
per zeplin link close button not supposed present n nplease assign back u requirement got changed n nfyi look canceling bug close button mentioned user story scan code screen,cancelling defect
duplicate r nplease mark done assigning back duplicate,duplicate issue
splash screen samsung n n samsung correct behavior n n not bug boarder layout due phone type actual screen not should boarder,duplicate issue
not create page variant since fmdc not configured consume variant edit text page publish change work not cancel bug not created provide comment assign back tester whoever opened sorry assign back moving forward,cancelling defect
happening amount value like n n n n n n n nbut able make payment amount like,duplicate issue
cert nzd price sailing sw main screenshot n n cert nzd price ecom choose cabin sailing screenshot n n cert nzd price ecom choose voyage sailing screenshot n n cert usd price sailing sw main screenshot closing dupe fyi bug resolved issue weekend issue cache syncing,duplicate issue
something maybe need updated cache since choose voyage us cache v select cabin page think correct dawn issue close one reference one scheduled tomorrow cert n n n n tag one reference canceled duplicate track fix issue,duplicate issue
r ncanceling defect duplicate,duplicate issue
should seaware defect not calculating commission pas flag seaware notify seaware agency eligible commission n nfyi n n look forward appropriate person team help isolate issue qa tried different set data not able reproduce problem canada commission agency booking suspect something suspicious raptor travel agency used juliana n n fyi n n canada commission agency booking n n review bug see reproduced agency r n r nthis not defect purposely modified commission agency testing purpose reverted commission back screenshot retested commission correct n n n nthanks,working as expected
point user story testing reviewed requirement not see requirement create update communication preference scenario no web account reservation created n na per current flow user check box time web account creation communication preference would added email opt would set true n ncc r n r nso communication preference not set web lead created sf guest check marketing email checkbox sailor detail page web r n r ncan confirm behavior r n r nthanks r nsanjay known behavior duplicate closing defect,cancelling defect
think could dupe n nthanks n nc check guy reading linked issue feel like raised question behavior clarifying bug schedule min discus ill gather question closing changing one discussion needed create meeting discus appropriate party mean not still issue based already fix close meeting added today th n nthanks n nc,duplicate issue
assign defect directly development team not thanks n based discussion dependency related assigning n issue no step reproduce no attachment snapshot available add required detail r n r n showstopper discus immediately bug created dcp copied bug vv jira known issue provide required info bug linked related task ticket still pending sw side require flag detail reducing severity high not blocking entire flow let know see concern share update hey got information seaware implemented refer linked ticket detail based comment moving back retest n nfyi n nthanks related api validation vv qa dont access api update issue done changing status dev qa close working fine,duplicate issue
fyi r nthanks marking high priority understanding sprint planning review fvc not due go prod util should able fix n nthanks n nc n nthis not bug story part check let know n nfyi r ncancelling issue part user story not covered r nthanks,cancelling defect
unable test resolved retrest n nunable execute part release note vv sailor app release august release note let qa know fixed qa update defect status vv qa n n n nfyi status updated r n r nunable edit time excursion qa multiple time slot r n r ncould help u r n r n edit fail booked activity single time slot no multiple time slot edit try activity multiple time slot let know still face problem duplicate hence cancelling,reproducible or environment issue
use following credential fmdc login n n englandfmdctestbruno englandfmdctestbruno red r n r nthe bug invalid using agency tour operator flag tour operator payment rule different regular agency work done manually point time back office team point requirement business policy document legitimizing statement know trying minimize nuance would need help ok keep po review sort thank cooperation business policy resides salesforce kowledge evolving frequently not share document avoid date info let know need help finding info salesforce,duplicate issue
check issue not coming every reservation splash screen appears day prior voyage non vip user day vip user case no splash screen appears nno implementation exists lineup detail page not delivered nfor user question day left voyage start n closing defect per comment not implemented yet,duplicate issue
nadding comment provide additional clarification around recommended priority high see significant bug recommend addressed asap block user booking said impacting user seemingly production since go live would not consider critical showstopper requires sounding alarm moment feel free adjust see fit course question let know try provide much detail available description hey njust checking detail might happening status prod issue n n fyi n unable assign bug dc technical support team removed jira need check bug r n r n shared ticket tech support analyzing issue r n r nfyi way get coorelation id issue like mentioned difficult reproduce yes id based filter kibana log logged ui every call one example r n screen shot pm gotcha unfortunately don get header synthetic failure don think instana show service call level either said provide time failure using kibana should able look calculateinvoice call time find culprit n ndoes make sense discus update status calculateinvoice fails no cabin number available returned seaware selected cabin category r nwe handling case seaware may return sailing no longer cabin category available via story r nafter investigation case also possible seaware return cabin category no longer available may need find error handling well r n share detail analysis n nwe need understand difference two message n seaware error ship category selected available waitlist n seaware error booking waitlisted one selling limit id n nfyi thought gave information slack r n r n r nthe first mean category sold r nthe second mean mean booking hitting selling limit r n r nthanks r ndawn based comment need handling case get error seaware seaware error booking waitlisted one selling limit id r n r nadded ticket r nfyi sprint updated,reproducible or environment issue
prioritized business per mockups no toggle theme change server module should crew app setting show implemented theme given option demo theme toggle functionality not developed yet r n r n confirm r n r nfyi provide reference user story feature implement close agreed ilashree comment link correct story within crew module functionality shortly n nfyi user story linked sprint updated story implement nthis bug invalid update n n new story created reflect update n n mean invalid,cancelling defect
feature not developed yet get error handling,duplicate issue
r n r nwe able see menu item today updating summary reflect intermittent issue not intermittent issue functionality based meal period meal period not available point menu not shown r n r nfyi n ncould point user story requirement meal period timing defined n n prioritized business placed order ago not able see menu item let u know meal period currently configured meal period configured r nfor razzle dazzle est r n est r n est r nfor wake est r n est r n est issue related time zone working fine access est,cancelling defect
n nthis pushed build cert first identified sanity bff service deployed working fine n nwe blocker n nhow check cabin page n nfyi bug raised final bff deployment content issue fixed redeployed last night need revalidate close r n raised deployment complete confirmed bug no longer valid issue seen deployment fix see styling should r nthanks r nc,reproducible or environment issue
n nthis pushed build cert first identified sanity bff service deployed working fine n nwe blocker n nhow check cabin suite page n nfyi bug raised final bff deployment content issue fixed redeployed last night need revalidate close raised deployment complete confirmed bug no longer valid issue seen deployment fix see styling should r nthanks r nc,reproducible or environment issue
current product well embark date not displayed guest list embark date voyage date displayed moderator click guest record r n r n r n r n r n r n r nif business need evaluate whether embark date displayed not fyi qa team reviewing based mock ups found mismatch mock ups production moci could take look bug seems close wanted double check would mock ups not production version thank n nfyi confirmed stakeholder closed like take look confirm seeing mismatch design actual moci prioritized business gap came mock ups built previously proposed version moci mock ups n ngoing forward ensure mock ups provided meet current implementation exactly n n n n business want embark date guest list confirm u shall plan accordingly thank going close possible get new mock ups moci add qa test existing moci behavior stakeholder okay miss mock ups,duplicate issue
need information data roommate pc manager provided query raised ticket get detail able show requisite information r n r nfyi assign back ready validation prioritized business per comment associated story show pc manager room mate name email sent ashley sierra get confirmation should pull get information display required detail r n r nfyi moving ticket sprint dependency ticket block required information provide name pc manager roommate displayed r n r nfyi since dependency related bug resolved assigning bug resolution take action removing sprint assignment bug related dependency unresolved shall plan meeting integration team figure next step fyi think going remove displaying mvp roommate pulled adonis,duplicate issue
check issue required production coed drop r n issue due since resolved dependency delivered th august release issue fixed let u know updated status r n yes fixed unable test due issue r n r n r n r n r n r n issue observed editing booking r n r ninfinite loading occurs ui user completes payment shore thing tap done button r nrefer attachment r n r n verified infinite loading occurs summary page sailor edits booked shore thing add one sailor r nreopening defect r nrefer attachment test latest build not face issue end tried build still go infinite loading post tapping confirm summary page n nattach recording n n nov edit infinite loading mov n n n n n n check update one r n guy check confirm item pawan blocked verify due blow issue n n linked issue closed issue similar r n cancelling defect tracking issue,reproducible or environment issue
r n r nsw working expected sailing happening le day sw protecting commission fm try scenario day check problem still persists n n n nagain policy documented visible everyone comment would helpful avoid nuance future issue not reproducible booking voyage day sailor deleted existing booking commission calculated per modification made invoice total amount kindly find screenshot reference n nbookinf id n n commission calculation deleting sailor morethan day n n tax voyagefare day n n,reproducible or environment issue
not sev lowering severity make black white bar check latest build let u know wrong fyi low priority issue doesn affect functionality application however not designed make decision happy current implementation need address later build n nplease reference new annotation n n io n na n n review requirement experience implementation expect n n home indicator line shouldn placed solid strip should sit app content n should also adaptive change based content colour n home indicator fade black white see reference video bbc n n eeeaf f fb ba dcebfe n n provide feedback advise should r not close ticket raise call tomorrow proceed open global ticket,duplicate issue
thanks check team case hardcoded app ndoes client want something not handled solution proposed team hardcode believe not something would want r n r nalso one call given loader load fetch load video next screen advise define action closing per comment,working as expected
change request not bug recreate n flow not shared maxiru flow never got implemented end given believe need planned cr r nfyi r n r n assigning next step r n converting story cr work provide story reference also like ensure release ty duplicate r nclosing closing duplicate dcp story defect vv jira,cancelling defect
need discussed r ncandidate triage vv add information using native version assign added another issue review part experience bug identified far n let discus one call like understand option currently picker doesn match designed experience understand challenge decided use current picker need add label user get confused entering month day field need understand impact add validation field let discus pls thank need add label date picker mm dd yyyy must tracked story overall experience change not one change,duplicate issue
add detail one add required detail open app not currently logged n n click sign sign email n n samsung android ni not see forgotten sign detail link keyboard obscures access scrolling page minimising keyboard n n b io iphone ni not see forgotten sign detail link keyboard obscures not access link page see flash click back arrow n n c pixel xl n nforgotten password link move sits keyboard correct behaviour n n expected behaviour earlier screen sliding bit also raised bug share final expected behaviour make change accordingly discussing team current behavior forgotten detail link correct r n r n close ticket mark cancelled,working as expected
native device behaviour,duplicate issue
good catch thanks adding going required ui error handling page nthanks n ndq n n bug unassigned assigned clare review r n r nfyi thanks head reviewed n n scenario should treated cabin no longer available selecting form choose voyage page landing choose cabin page already designed error modal implement joker well standard cabin n nthanks n nc n n n n check update item taken story r n r n assigning story cancellation tracking,cancelling defect
confirmation screen not required,duplicate issue
prioritized business could validate duplicate,duplicate issue
fyi give example n n watch video attached dont forget volume n n cd bac cbdeda n n sent everyone via email since difficulty uploading looking update shortly n n note bug n n thanks work past quickly wanted update tested qa need populate lead email address additional send email field lookup would always display contact salesforce box functionality discussed past well customization needed need evaluated refer based discussion day n nquickly wanted check working way shown video work account not lead way send lead email going onto lead page scrolling clicking send email way not display previous communication submitted u s never able email lead linked case default lookup field email emailing case looking contact require trigger pull email form lead linked case field possible n nfyi n n discussed past customization needed need evaluated refer case email send email populate lead account contact name togrooming based discussion day,duplicate issue
not mapping age gender no story related field n ngender de lead mapped gender de account part demographic story mapping field required need jira story field api name point requirement specifies age gender need populated lead converted account provide access age field qa profile cert tested scenario dev noted gender getting populated not age observation production checked converted account production noticed gender flowing account look n nage not populated instance good no requirement copy gender age field lead conversion account r n r n r nin reservation flow lead new re gender field coming re event would take precedence would always seaware salesforce r n r nhelp u know use case convert lead way mentioned attached video r n r nage not use field take layout confuse qa team r n r nif not agreement get u jira requirement take bug fix r n r n r nfyi r n r n,cancelling defect
not getting vip flag sw ticket created vv jira n n n n item failed sprint goal moving next sprint also non compliance part owner make sure update work item update status r n r nthanks already updated comment mentioned ticket still showing grooming r n dependent ticket raised sw since not receiving vip sw r nmsh r n r ncan help r n r nfyi vip requirement descoped close bug vip requirement descoped okay confirm vip requirement descoped vip shore ex overall know many feature story linked vip requirement hence wanted confirm r n r nthanks vip requirement shore thing descoped n,cancelling defect
check agreed using native camera mode screen sailor device capture profile photo screenshot expected behaviour added frame top native camera screen r n r nconsidering believe bug should become invalid request confirm r n r nfyi r n r nthanks r n need discussed triage vv need business confirmation per meeting agreed should not issue camera overlay way alignment design camera screen throughout rest app should discus n n checking really canceled camera overlay should follow design across rest app screen shown flow post capture cropping n n n n sam should create new ticket item know going back bit create sam ticket align design camera app,duplicate issue
add specific detail need done r n think close unexpected behaviour appears ok client never designed behaviour n n n na yea close,duplicate issue
